model,family,configuration,attempted_queries,expected_queries,valid_responses,ndcg_at_10,accuracy,avg_cost_cny,avg_latency_seconds,effective_success_rate,overall_score,avg_prompt_tokens,avg_completion_tokens,avg_reasoning_tokens,avg_cached_tokens,p50_latency_seconds,p95_latency_seconds,api_success_rate,failure_rate,unknown_cost_calls,known_cost_cny,accounted_and_reserved_cny,quality_first_score,economy_first_score,aiq,pareto_frontier,selection_status,failure_reasons,source
gemini-2.5-flash-lite,Gemini,none,12,12,11,0.6404797116825756,0.5,0.0019654166666666665,1.6260833333338571,0.9166666666666666,66.55199824222346,2193,65.83333333333333,,,1.3669999999983702,2.645549999996729,1.0,0.08333333333333337,0,0.0235808,0.023585,63.23710513396969,68.88418301714393,45.81639641744814,False,未达晋级门槛,"{""invalid_ranking_format"": 1}",https://aihubmix.com/model/gemini-2.5-flash-lite
qwen3.6-35b-a3b,Qwen,none,12,12,12,0.6718754469439296,0.5833333333333334,0.005298833333333333,1.2095833333344974,1.0,66.00933684450746,2214.4166666666665,65.5,,,1.1404999999940628,1.6939999999958668,1.0,0.0,0,0.063579248,0.063586,64.92637090095937,64.45131263298998,29.61049870122188,True,合格但未入前五,{},https://aihubmix.com/model/qwen3.6-35b-a3b
qwen3.6-flash,Qwen,none,12,12,12,0.6541673359346715,0.5,0.00351075,1.4529166666640474,1.0,65.1297317577135,2214.4166666666665,63.666666666666664,,,1.2105000000010477,2.1399499999955873,1.0,0.0,0,0.042124263999999995,0.042129,62.65594343738686,65.84814507804015,37.44840192357033,True,合格但未入前五,{},https://aihubmix.com/model/qwen3.6-flash
gemini-2.5-flash,Gemini,none,12,12,12,0.6892510561656137,0.5833333333333334,0.006501666666666667,2.045416666667734,1.0,65.0861643420457,2193,61.916666666666664,,,1.9375,3.2453000000008614,1.0,0.0,0,0.07801245600000001,0.07802,64.63752291116546,62.56841030021618,24.466503258759552,True,合格但未入前五,{},https://aihubmix.com/model/gemini-2.5-flash
doubao-seed-2-0-lite-260428,Doubao,none,12,12,12,0.6649662734780182,0.5,0.0022554166666666673,3.1614166666646875,1.0,63.71697234804796,2793.4166666666665,54,0,0,3.05449999999837,3.95264999999199,1.0,0.0,0,0.027057181520000004,0.027065000000000006,62.506373160612725,65.6367243139912,45.1108919273665,False,合格但未入前五,{},https://aihubmix.com/model/doubao-seed-2-0-lite-260428
doubao-seed-1-8,Doubao,none,12,12,12,0.6474490394369612,0.5,0.0025670833333333335,2.7929166666678307,1.0,63.47106407908224,2792.4166666666665,54,0,0,2.6089999999967404,3.8724499999982065,1.0,0.0,0,0.03079829688,0.030805000000000003,61.91136459353942,65.1667355485641,42.64446544690823,False,合格但未入前五,{},https://aihubmix.com/model/doubao-seed-1-8
gemini-3.5-flash,Gemini,none,12,12,12,0.687832558729889,0.6666666666666666,0.032232000000000004,2.12366666666397,1.0,62.988586783022406,2193,82.16666666666667,,,2.2344999999913853,2.480899999997928,1.0,0.0,0,0.386784,0.386784,64.66443263952839,56.991717362418385,5.252928864934519,True,合格但未入前五,{},https://aihubmix.com/model/gemini-3.5-flash
gemini-3.1-flash-lite,Gemini,none,12,12,12,0.6623904228799343,0.5,0.005196,1.7629166666665697,1.0,62.90075487008178,2193,67.5,,,1.6875,2.3025500000017924,1.0,0.0,0,0.062352,0.062352,61.3070102947201,61.90019613520481,27.963587925325598,False,合格但未入前五,{},https://aihubmix.com/model/gemini-3.1-flash-lite
gemini-3.8-flash,Gemini,low,12,12,12,0.6843387248052953,0.6666666666666666,0.014742999999999997,2.5846666666693636,1.0,62.56671041308613,2193,52.833333333333336,,,2.680000000007567,3.2994999999937136,1.0,0.0,0,0.17691599999999996,0.17691599999999996,64.6049065153405,57.50740345843948,11.454634330461595,True,合格但未入前五,{},https://aihubmix.com/model/gemini-3.8-flash
qwen3.6-plus,Qwen,none,12,12,12,0.6742976748422664,0.5833333333333334,0.0061062500000000006,2.7396666666681995,1.0,62.45849217680877,2214.4166666666665,82,,,2.555500000002212,3.489550000008603,1.0,0.0,0,0.073268112,0.073275,63.04948522578425,60.264502949646236,25.744749399705213,False,合格但未入前五,{},https://aihubmix.com/model/qwen3.6-plus
