case_id,scenario,condition,arm,run_status,model_calls,tool_calls,input_tokens,output_tokens,accounted_and_reserved_cny,latency_seconds,delegations,task_completed,business_success,required_evidence_covered,constraint_violation,failure_reasons,evidence_gaps
SCREP-shipping_revision,shipping_revision,bootstrap,single,completed,3,5,15180,421,0.028331,10.078,0,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,both,coordinator,completed,6,4,30512,1425,0.062503,26.094,2,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,both,on_demand,completed,3,4,14379,450,0.027327,8.828,0,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,both,single,completed,3,4,13500,387,0.025316,9.609,0,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,guard,coordinator,completed,7,4,31110,1464,0.063834,46.016,2,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,guard,on_demand,completed,5,4,20255,539,0.037584,17.141,0,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,guard,single,completed,4,4,15743,534,0.030316,17.172,0,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,neither,coordinator,completed,6,4,25087,1133,0.051018,30.594,1,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,neither,on_demand,completed,5,4,20264,515,0.037369,15.61,0,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,neither,single,completed,4,4,15744,521,0.030194,14.235,0,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,bootstrap,coordinator,completed,6,4,35528,1086,0.067273,29.718,1,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,bootstrap,on_demand,completed,5,5,34767,679,0.062148,20.656,0,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,bootstrap,single,completed,3,3,15901,395,0.029235,11.531,0,False,True,False,False,,specific_order_issue_not_cited
SCREP-shortage_alternative,shortage_alternative,both,coordinator,completed,6,5,39636,1321,0.076101,36.625,1,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,both,on_demand,completed,4,4,25621,622,0.046967,20.282,0,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,both,single,completed,6,5,41543,780,0.073959,21.078,0,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,guard,coordinator,completed,9,5,54711,1291,0.099935,51.141,2,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,guard,on_demand,completed,4,4,25210,607,0.046165,15.453,0,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,guard,single,completed,4,5,25846,566,0.046788,18.782,0,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,neither,coordinator,completed,6,5,37746,1310,0.072972,33.468,1,False,True,False,False,,substitution_differences_not_cited
SCREP-shortage_alternative,shortage_alternative,neither,on_demand,completed,4,4,25174,502,0.045099,15.188,0,True,True,True,False,,
SCREP-shortage_alternative,shortage_alternative,neither,single,completed,4,5,25846,567,0.046799,15.5,0,True,True,True,False,,
SCREP-valid_keep,valid_keep,bootstrap,coordinator,completed,4,3,15807,1124,0.036083,25.422,1,True,True,True,False,,
SCREP-valid_keep,valid_keep,bootstrap,on_demand,completed,3,3,12849,505,0.025408,12.594,0,True,True,True,False,,
SCREP-valid_keep,valid_keep,bootstrap,single,completed,2,3,7403,450,0.016165,9.484,0,True,True,True,False,,
SCREP-valid_keep,valid_keep,both,coordinator,completed,4,4,17375,1078,0.03815,26.359,1,True,True,True,False,,
SCREP-valid_keep,valid_keep,both,on_demand,completed,3,3,12847,526,0.025607,27.235,0,True,True,True,False,,
SCREP-valid_keep,valid_keep,both,single,completed,2,3,7402,425,0.015924,9.265,0,True,True,True,False,,
SCREP-valid_keep,valid_keep,guard,coordinator,completed,6,3,23007,1685,0.052989,25.047,2,True,True,True,False,,
SCREP-valid_keep,valid_keep,guard,on_demand,completed,4,3,15329,516,0.029481,15.64,0,True,True,True,False,,
SCREP-valid_keep,valid_keep,guard,single,completed,3,3,9625,452,0.01974,10.906,0,True,True,True,False,,
SCREP-valid_keep,valid_keep,neither,coordinator,completed,5,3,17092,990,0.036852,24.312,1,True,True,True,False,,
SCREP-valid_keep,valid_keep,neither,on_demand,completed,4,3,15307,457,0.02888,25.703,0,True,True,True,False,,
SCREP-valid_keep,valid_keep,neither,single,completed,3,3,9625,515,0.020345,10.203,0,True,True,True,False,,
